"Timestamp","Username","Name","Availability"
"2025/08/23 11:00:47 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Buttercup","Wed 3:30pm-4:30pm;Wed 4:00pm-5:00pm;Wed 8:00pm-9:00pm;Fri 5:00pm-6:00pm;Wed 5:00pm-6:00pm"
"2025/08/23 11:01:11 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Charlie","Wed 3:30pm-4:30pm;Wed 4:00pm-5:00pm;Wed 4:30pm-5:30pm;Wed 5:00pm-6:00pm;Wed 6:00pm-7:00pm;Wed 6:30pm-7:30pm;Wed 7:00pm-8:00pm;Wed 8:00pm-9:00pm;Thu 2:30pm-3:30pm;Thu 3:00pm-4:00pm;Thu 4:00pm-5:00pm;Thu 5:00pm-6:00pm;Thu 7:00pm-8:00pm;Thu 8:00pm-9:00pm;Fri 5:00pm-6:00pm"
"2025/08/23 11:02:12 PM GMT-3","user3@example.com","Daisy","Wed 3:30pm-4:30pm;Wed 5:00pm-6:00pm;Fri 5:00pm-6:00pm;Wed 4:00pm-5:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:03:03 PM GMT-3","user4@example.com","Spike","Wed 4:00pm-5:00pm;Wed 6:00pm-7:00pm;Thu 4:00pm-5:00pm;Fri 5:00pm-6:00pm;Wed 5:00pm-6:00pm"
"2025/08/23 11:04:20 PM GMT-3","user5@example.com","Muffin","Wed 4:30pm-5:30pm;Wed 6:30pm-7:30pm;Thu 3:00pm-4:00pm;Wed 5:00pm-6:00pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:05:45 PM GMT-3","user6@example.com","Pepper","Wed 5:00pm-6:00pm;Wed 7:00pm-8:00pm;Thu 5:00pm-6:00pm;Wed 6:00pm-7:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:06:50 PM GMT-3","user7@example.com","Gizmo","Wed 6:00pm-7:00pm;Wed 8:00pm-9:00pm;Thu 7:00pm-8:00pm;Fri 5:00pm-6:00pm;Wed 7:00pm-8:00pm"
"2025/08/23 11:07:35 PM GMT-3","user8@example.com","Bella","Wed 3:30pm-4:30pm;Wed 4:00pm-5:00pm;Wed 4:30pm-5:30pm;Thu 2:30pm-3:30pm;Fri 5:00pm-6:00pm"
"2025/08/23 11:08:12 PM GMT-3","user9@example.com","Luna","Wed 3:30pm-4:30pm;Wed 5:00pm-6:00pm;Tue 3:00pm-4:00pm;Wed 4:00pm-5:00pm;Thu 4:00pm-5:00pm; Thu 5:00pm-6:00pm"
"2025/08/23 11:08:33 PM GMT-3","user10@example.com","Rocky","Wed 4:00pm-5:00pm;Fri 5:00pm-6:00pm;Wed 5:00pm-6:00pm;Wed 3:30pm-4:30pm;Thu 3:00pm-4:00pm"
"2025/08/23 11:08:51 PM GMT-3","user11@example.com","Cleo","Wed 3:30pm-4:30pm;Thu 4:00pm-5:00pm;Tue 4:00pm-5:00pm;Wed 4:00pm-5:00pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:09:12 PM GMT-3","user12@example.com","Simba","Wed 5:00pm-6:00pm;Wed 6:30pm-7:30pm;Thu 5:00pm-6:00pm;Wed 7:00pm-8:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:09:33 PM GMT-3","user13@example.com","Milo","Wed 4:30pm-5:30pm;Tue 3:00pm-4:00pm;Wed 3:30pm-4:30pm;Wed 5:00pm-6:00pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:09:55 PM GMT-3","user14@example.com","Nala","Wed 6:00pm-7:00pm;Tue 4:00pm-5:00pm;Wed 5:00pm-6:00pm;Wed 4:30pm-5:30pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:10:12 PM GMT-3","user15@example.com","Oreo","Wed 3:30pm-4:30pm;Wed 7:00pm-8:00pm;Fri 5:00pm-6:00pm;Wed 4:00pm-5:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:10:33 PM GMT-3","user16@example.com","Peanut","Wed 4:00pm-5:00pm;Wed 4:30pm-5:30pm;Thu 2:30pm-3:30pm;Wed 5:00pm-6:00pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:10:52 PM GMT-3","user17@example.com","Pumpkin","Wed 5:00pm-6:00pm;Wed 8:00pm-9:00pm;Thu 7:00pm-8:00pm;Wed 6:30pm-7:30pm;Thu 8:00pm-9:00pm"
"2025/08/23 11:11:12 PM GMT-3","user18@example.com","Ruby","Wed 6:30pm-7:30pm;Tue 3:00pm-4:00pm;Wed 5:00pm-6:00pm;Wed 4:30pm-5:30pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:11:33 PM GMT-3","user19@example.com","Shadow","Wed 3:30pm-4:30pm;Wed 4:00pm-5:00pm;Fri 5:00pm-6:00pm;Wed 4:30pm-5:30pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:11:52 PM GMT-3","user20@example.com","Sassy","Wed 4:30pm-5:30pm;Wed 5:00pm-6:00pm;Thu 8:00pm-9:00pm;Wed 3:30pm-4:30pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:12:12 PM GMT-3","user21@example.com","Snickers","Wed 6:00pm-7:00pm;Thu 5:00pm-6:00pm;Wed 3:30pm-4:30pm;Wed 4:00pm-5:00pm;Wed 5:00pm-6:00pm"
"2025/08/23 11:12:33 PM GMT-3","user22@example.com","Sunny","Wed 3:30pm-4:30pm;Wed 4:30pm-5:30pm;Tue 4:00pm-5:00pm;Wed 5:00pm-6:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:12:51 PM GMT-3","user23@example.com","Tiger","Wed 4:00pm-5:00pm;Wed 6:30pm-7:30pm;Thu 3:00pm-4:00pm;Wed 5:00pm-6:00pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:13:12 PM GMT-3","user24@example.com","Willow","Wed 5:00pm-6:00pm;Wed 8:00pm-9:00pm;Thu 2:30pm-3:30pm;Wed 3:30pm-4:30pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:13:33 PM GMT-3","user25@example.com","Ziggy","Wed 6:00pm-7:00pm;Wed 7:00pm-8:00pm;Thu 5:00pm-6:00pm;Wed 5:00pm-6:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:13:52 PM GMT-3","user26@example.com","Ace","Wed 3:30pm-4:30pm;Tue 3:00pm-4:00pm;Wed 4:00pm-5:00pm;Wed 5:00pm-6:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:14:12 PM GMT-3","user27@example.com","Bandit","Wed 4:00pm-5:00pm;Wed 6:00pm-7:00pm;Thu 8:00pm-9:00pm;Wed 3:30pm-4:30pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:14:33 PM GMT-3","user28@example.com","Coco","Wed 4:30pm-5:30pm;Wed 5:00pm-6:00pm;Thu 7:00pm-8:00pm;Wed 3:30pm-4:30pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:14:52 PM GMT-3","user29@example.com","Duke","Wed 6:30pm-7:30pm;Fri 5:00pm-6:00pm;Wed 5:00pm-6:00pm;Wed 4:00pm-5:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:15:12 PM GMT-3","user30@example.com","Fifi","Wed 3:30pm-4:30pm;Wed 4:00pm-5:00pm;Thu 5:00pm-6:00pm;Wed 5:00pm-6:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:15:33 PM GMT-3","user31@example.com","Ginger","Wed 4:30pm-5:30pm;Wed 6:00pm-7:00pm;Thu 3:00pm-4:00pm;Wed 5:00pm-6:00pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:15:52 PM GMT-3","user32@example.com","Jasper","Wed 5:00pm-6:00pm;Wed 8:00pm-9:00pm;Thu 7:00pm-8:00pm;Wed 3:30pm-4:30pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:16:12 PM GMT-3","user33@example.com","Kiki","Wed 3:30pm-4:30pm;Wed 4:30pm-5:30pm;Fri 5:00pm-6:00pm;Wed 5:00pm-6:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:16:33 PM GMT-3","user34@example.com","Lola","Wed 4:00pm-5:00pm;Wed 5:00pm-6:00pm;Thu 5:00pm-6:00pm;Wed 3:30pm-4:30pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:16:52 PM GMT-3","user35@example.com","Mocha","Wed 6:00pm-7:00pm;Wed 6:30pm-7:30pm;Thu 8:00pm-9:00pm;Wed 5:00pm-6:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:17:12 PM GMT-3","user36@example.com","Peaches","Wed 3:30pm-4:30pm;Wed 7:00pm-8:00pm;Tue 3:00pm-4:00pm;Wed 4:00pm-5:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:17:33 PM GMT-3","user37@example.com","Poppy","Wed 4:00pm-5:00pm;Wed 4:30pm-5:30pm;Thu 7:00pm-8:00pm;Wed 5:00pm-6:00pm;Thu 5:00pm-6:00pm"
"2025/08/23 11:17:52 PM GMT-3","user38@example.com","Rex","Wed 5:00pm-6:00pm;Wed 8:00pm-9:00pm;Thu 2:30pm-3:30pm;Wed 3:30pm-4:30pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:18:12 PM GMT-3","user39@example.com","Rudy","Wed 6:00pm-7:00pm;Wed 7:00pm-8:00pm;Thu 5:00pm-6:00pm;Wed 5:00pm-6:00pm;Thu 4:00pm-5:00pm"
"2025/08/23 11:18:33 PM GMT-3","user40@example.com","Socks","Wed 3:30pm-4:30pm;Tue 3:00pm-4:00pm;Wed 4:00pm-5:00pm;Wed 5:00pm-6:00pm;Thu 4:00pm-5:00pm"
