"Timestamp","Username","Name","Availability [11:00am-12:00pm]","Availability [12:00pm-1:00pm]","Availability [1:00pm-2:00pm]","Availability [2:30pm-3:30pm]","Availability [3:00pm-4:00pm]","Availability [3:30pm-4:30pm]","Availability [4:00pm-5:00pm]","Availability [4:30pm-5:30pm]","Availability [5:00pm-6:00pm]","Availability [6:00pm-7:00pm]","Availability [6:30pm-7:30pm]","Availability [7:00pm-8:00pm]","Availability [8:00pm-9:00pm]"
"2025/08/23 9:11:47 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Arnold","","","","","","Wed","Wed","Wed","Wed;Thu;Fri","Wed","Wed","Wed","Wed"
"2025/08/23 9:12:59 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Bernard","","","","Thu","Thu","","Thu","","Wed;Thu","","","Thu","Thu"
"2025/08/23 10:40:44 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Charizard","","","","","Thu","","Thu","","Fri","","Wed","",""
"2025/08/23 10:42:51 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Donald","","","","Thu","","","Thu","","Thu","","","","Wed"
"2025/08/23 10:44:01 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Edward","","","","","","Wed","Wed","Wed","Fri","","","",""
"2025/08/23 10:45:07 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Felizard","","","","","","Wed","Wed","","Thu","","","Thu","Thu"
"2025/08/23 10:45:46 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Gerald","","","","Thu","Thu","Wed","","","","","","Wed","Wed"
"2025/08/23 10:46:54 PM GMT-3","joao.f.de.araujo.junior.jr.27@dartmouth.edu","Herald","","","","Thu","Thu","","Thu","","Thu","","","",""
"2025/08/23 10:47:12 PM GMT-3","ta1@example.com","Isabel","","","","Wed","","Wed","Wed","","Wed;Thu","","Wed","Wed","Wed"
"2025/08/23 10:47:30 PM GMT-3","ta2@example.com","Jared","","Thu","","Thu","Thu","","Thu","","Thu","","Thu","Thu","Thu"
"2025/08/23 10:47:48 PM GMT-3","ta3@example.com","Karen","","","","Thu","","Thu","","Fri","Thu","Wed","","Wed","Wed"
"2025/08/23 10:48:05 PM GMT-3","ta4@example.com","Leon","","Wed","","Wed","Wed","","Thu","","Thu","","Thu","Thu","Wed"
"2025/08/23 10:51:20 PM GMT-3","ta5@example.com","Maya","","Wed","","Thu","Thu","","Wed","","Thu","","Wed","Thu","Wed"
"2025/08/23 10:51:40 PM GMT-3","ta6@example.com","Nolan","","Thu","","Wed","Thu","","Thu","","Wed","","Thu","Wed","Thu"
"2025/08/23 10:52:00 PM GMT-3","ta7@example.com","Olivia","","Wed","","Thu","","Wed","","Thu","","Thu","Wed","Thu","Wed"
"2025/08/23 10:52:20 PM GMT-3","ta8@example.com","Patrick","","Thu","","Wed","","Thu","","Wed","","Wed","Thu","Wed","Thu"
